1,10.000000,0.010000
440,-441.000000,0.205000
709,-584.000000,0.500000
899,-756.000000,0.780000
990,-879.000000,0.915000
1042,-973.000000,0.985000
1077,-918.000000,0.950000
1135,-964.000000,0.980000
1177,-968.000000,0.980000
1208,-927.000000,0.955000
1232,-973.000000,0.985000
1252,-959.000000,0.975000
1292,-959.000000,0.975000
1317,-982.000000,0.990000
1355,-962.000000,0.970000
1379,-968.000000,0.980000
1410,-945.000000,0.965000
1435,-982.000000,0.990000
1453,-964.000000,0.980000
1489,-954.000000,0.970000
1519,-982.000000,0.990000
1548,-973.000000,0.985000
1581,-982.000000,0.990000
1611,-964.000000,0.980000
1640,-917.000000,0.945000
1674,-923.000000,0.955000
1695,-968.000000,0.980000
1721,-976.000000,0.980000
1741,-954.000000,0.970000
1767,-964.000000,0.980000
1798,-937.000000,0.965000
1829,-964.000000,0.980000
1852,-959.000000,0.975000
1883,-950.000000,0.970000
1906,-949.000000,0.965000
1925,-946.000000,0.970000
1963,-944.000000,0.960000
1993,-964.000000,0.980000
2013,-946.000000,0.970000
2044,-941.000000,0.965000
2073,-928.000000,0.960000
2115,-932.000000,0.960000
2146,-955.000000,0.975000
2185,-898.000000,0.930000
2230,-875.000000,0.915000
2272,-953.000000,0.965000
2305,-928.000000,0.960000
2344,-935.000000,0.955000
2371,-982.000000,0.990000
2400,-955.000000,0.975000
2435,-932.000000,0.960000
2476,-905.000000,0.945000
2522,-907.000000,0.935000
2570,-903.000000,0.935000
2605,-946.000000,0.970000
2628,-973.000000,0.985000
2650,-959.000000,0.975000
2689,-964.000000,0.980000
2721,-950.000000,0.970000
2758,-937.000000,0.965000
2795,-946.000000,0.970000
2816,-973.000000,0.985000
2840,-973.000000,0.985000
2851,-982.000000,0.990000
2886,-955.000000,0.975000
2906,-955.000000,0.975000
2937,-926.000000,0.950000
2971,-982.000000,0.990000
2996,-955.000000,0.975000
3016,-909.000000,0.945000
3065,-918.000000,0.950000
3106,-973.000000,0.985000
3125,-932.000000,0.960000
3152,-955.000000,0.975000
3186,-945.000000,0.965000
3225,-946.000000,0.970000
3259,-950.000000,0.970000
3290,-955.000000,0.975000
3304,-973.000000,0.985000
3329,-940.000000,0.960000
3370,-903.000000,0.935000
3409,-922.000000,0.950000
3447,-914.000000,0.950000
3487,-928.000000,0.960000
3515,-932.000000,0.960000
3542,-959.000000,0.975000
3592,-903.000000,0.935000
3628,-927.000000,0.955000
3648,-959.000000,0.975000
3684,-973.000000,0.985000
3702,-977.000000,0.985000
3738,-931.000000,0.955000
3763,-982.000000,0.990000
3800,-923.000000,0.955000
3841,-946.000000,0.970000
3863,-972.000000,0.980000
3889,-936.000000,0.960000
3922,-941.000000,0.965000
3971,-922.000000,0.950000
4012,-941.000000,0.965000
